title,latitude,longitude
📷 KPE/ECP,1.29531332,103.871146
📷 Kallang Bahru,1.319541067,103.8785627
📷 KPE/PIE,1.323957439,103.8728576
📷 Kallang Way Flyover,1.319535712,103.8750668
📷 Defu Flyover,1.363519886,103.905394
📷 Tampines Flyover,1.357098686,103.902042
📷 TPE(PIE), Exit 2 to Loyang Ave,1.365434,103.953997
📷 TPE(PIE), Tampines Viaduct,1.3605,103.961412
📷 Tanah Merah Coast Road towards Changi,1.317036,103.988598
📷 Maxwell Road,1.2741439435,103.8513168025
📷 Marina Boulevard/Marina Coastal Drive,1.27135090683,103.8618284406
📷 MCE 1.02km,1.27066408655,103.8569779434
📷 MCE/ECP,1.29409891409,103.8760561966
📷 Marina Boulevard,1.2752977149,103.8663903818
📷 Exit 6 to Bukit Timah Road,1.323604823,103.8587802
📷 Braddell Flyover,1.34355015,103.8601984
📷 St George Road,1.32814722195,103.862203282
📷 Entrance from Chin Swee Road,1.28569398887,103.8375245102
📷 Ang Mo Kio Ave 5 Flyover,1.375925022,103.8587986
📷 St George Road,1.38861,103.85806
📷 Bukit Merah Flyover,1.28036584336,103.8304511465
📷 Exit 6 to Bukit Timah Road,1.31384231655,103.8456030326
📷 Ang Mo Kio Ave 1 Flyover,1.35296,103.85719
📷 Woodlands Causeway (Towards Johor),1.447023728,103.7716543
📷 Woodlands Checkpoint (Towards BKE),1.445554109,103.7683397
📷 Chantek Flyover,1.35047790791,103.7910335813
📷 Woodlands Flyover (Towards Checkpoint),1.429588536,103.769311
📷 Dairy Farm Flyover,1.36728572,103.7794698
📷 after KJE Exit,1.414142,103.771168
📷 Mandai Rd Entrance,1.3983,103.774247
📷 Exit 5 to KJE (Towards Checkpoint),1.3865,103.7747
📷 Entrance from PIE,1.33831,103.98032
📷 Entrance from MCE,1.29585501566,103.880314666
📷 Exit 2A to Changi Coast Road,1.32743,103.97383
📷 Laguna Flyover,1.309330837,103.9350504
📷 Marine Parade Flyover,1.30145145166,103.91059632
📷 Tanjong Katong Flyover,1.297512569,103.8983019
📷 Tanjong Rhu,1.29565733262976,103.885283049309
📷 Benjamin Sheares Bridge,1.29158484,103.8615987
📷 Towards Alexandra Road,1.2871,103.79633
📷 Keppel Viaduct,1.27237,103.8324
📷 Second Link at Tuas,1.348697862,103.6350413
📷 Lower Delta Road,1.27877,103.82375
📷 Entrance from Yuan Ching Rd,1.32618,103.73028
📷 Near NUS,1.29792,103.78205
📷 Entrance from Jln Ahmad Ibrahim,1.33344648135658,103.652700847056
📷 Near Dover Drive,1.29939,103.7799
📷 Clementi Ave 6 Entrance,1.312019,103.763002
📷 Towards Pandan Gardens,1.32153,103.75273
📷 After Tuas West Road,1.341244001,103.6439134
📷 Tuas Checkpoint,1.347645829,103.6366955
📷 Near West Coast Walk,1.31023,103.76438
📷 Entrance from Benoi Rd,1.32227,103.67453
📷 Sentosa Gateway (Towards Telok Blangah),1.25999999687243,103.823611110166
📷 Sentosa Gateway (Towards Sentosa),1.26027777363278,103.823888890049
📷 Bedok North,1.3309693,103.9168616
📷 Eunos Flyover,1.326024822,103.905625
📷 Paya Lebar Flyover,1.322875288,103.8910793
📷 Kallang Way,1.32036078126842,103.877174116489
📷 Woodsville Flyover,1.328171608,103.8685191
📷 Kim Keat Link,1.329334,103.858222
📷 Thomson Flyover,1.328899,103.84121
📷 Mount Pleasant,1.326574036,103.8268573
📷 Adam Road,1.332124,103.81768
📷 Bukit Timah Expressway,1.349428893,103.7952799
📷 Nanyang Flyover,1.345996,103.69016
📷 Entrance from Jalan Anak Bukit,1.344205,103.78577